[,   7,   0,   7,b6ed,9218,dcfe,  24,  15, 4d6,d8d2,6c53,93fc
[,   4,fffc,   3,97d7,b6f3,8ce9,  24,  11, 4d4,5790,bb62,51f4
[,   b,   3,fffd,8aab,8ccd,e14a,  25,  13, 4d6,b672,b353,9eb2
[,   b,   9,ffff,b57d,8fe7,773b,  23,   d, 4e4,f100,6dbf,b2b8
], 49972,   3,   a,fff0,7606,ece1,d8d4,  20,   b, 4e3,ee29,99fc,aa63, 70b
[,   a,fffd,fffd,c501,eb13,aac7,  23,   f, 4e5,69cf,2766,ae9e
[,   5,fffd,   9,8651,78c0,cf68,  25,  10, 4da,58d3, a86,b787
[,fffa,   2,   5,b523, 3d0,2fd3,  23,  10, 4dc,39ac, f9a,58b9
[,fff9,   c,fff7,6161,55e3,e51f,  20,   b, 4e2,15ff,98cf,cde5
[,   2,fffc,fffb,2646,611f,639c,  24,   e, 4df,2304,69a5,9baf
[,   4,fff4,   1,2e95,c493,6958,  23,   e, 4df,d535,496a,8976
[,  11,fffc,fffb,c21e,12cd,b63f,  25,   d, 4e7,61b0,3e66,bd4a
[,   9,   5,fffd,dcac,4cfc,976c,  25,  11, 4d8,de6d,43a3,7492
[,   d,fff9,fff8,84ee,a4e2, 6bf,  28,  15, 4c9,2281,5b58,216a
], 50026,   b,  10,   3,6a16,c938, d41,  28,   f, 4d2,d544,3cba,ab6c, 70b
[,  12,fffc,ffee,7e62,15f6,f999,  26,  10, 4da,dac1,bd7e,a41c
[,   c,   6,fff6,3deb,658f,8e64,  2a,  13, 4d9,776b,25c9,7f8b
[,fffd,fffd,fff5,f8b0,b576, 870,  27,  13, 4d9,b3d4,1c7d,5141
[,   1,   3,   0,7dc3,8416,82d6,  2b,   c, 4e2,e4c5,8b14,a294
[,fffb,fff3,   3,dfce,9863,8863,  26,   d, 4dc,e85c,ced6,f629
[,   8,fffb,  11,37d8,e28e,5896,  2b,  20, 4dd,8ac6,61d7, 359
[,   6,fff3,fffe,12b8,986f,3967,  2a,  19, 4df,eec2,fcf7,dd8c
[,   9,ffef,ffff,38c4,29b7,6ba6,  24,  1f, 4e0,6fea,a6ba,b257
[,   8,   e,  17,a977,682d,51c2,  25,  18, 4d9,b51e,82e9,a20f
], 49974,  11,fff9,   1,b657,1fdb,249e,  26,  14, 4e3,f584,d348,1b18, 70d
[,   4,fffa,ffff,3275,ac4c,8a70,  28,  1b, 4e4,865e,46d2,5d7c
[,   8,fffe,   2,3e63,2f1a,2305,  26,  18, 4cc,36c5,c347,9ff8
[,ffff,fffa,   1,7a33,dea5, 9b2,  21,  16, 4d2,ad49,a404,642e
[,   0,fff6,   4,9233,c085, ac0,  21,  14, 4e0,c6f1,b16d,e7ac
[,   a,fffc,   7,2683,a3a1,fc45,  1f,  14, 4da,a565,dad8,c3dd
[,   c,   2,   0,e543,bcb6,a9c0,  1f,   f, 4da,dc21,b2c5,905e
[,   d,fffc,   4,669f,ad97,c6ff,  22,   b, 4e7,8f9c,58d7,7400
[,  13,fff8,   c,d2f4,ab4b,5633,  1f,   d, 4df,c942,2886,cf99
[,ffff,   4,fff9,79ca,44f2,c98a,  22,  10, 4c8,c4d8,71b4,f76b
